Variables: 6
Points: 833
time V1 V2 V3 ebranch vinbranch 
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 
5.000000000000000e-09 9.800000000000000e-01 9.999907324083266e-05 -9.999907324083266e-01 4.899500004644507e-07 -4.899500004633795e-07 
1.000000000000000e-08 9.600000000000000e-01 1.000079603150145e-04 -1.000079603150145e+00 4.799499960203752e-07 -4.799499960198424e-07 
2.000000000000000e-08 9.200000000000000e-01 1.000253641298800e-04 -1.000253641298800e+00 4.599499873183158e-07 -4.599499873179350e-07 
4.000000000000000e-08 8.400000000000000e-01 1.000579497586632e-04 -1.000579497586632e+00 4.199499710259262e-07 -4.199499710251206e-07 
8.000000000000000e-08 6.799999999999999e-01 1.001142330128496e-04 -1.001142330128496e+00 3.399499428834444e-07 -3.399499428834936e-07 
1.600000000000000e-07 3.600000000000000e-01 1.001912475109938e-04 -1.001912475109938e+00 1.799499043762489e-07 -1.799499043762445e-07 
3.200000000000000e-07 -2.800000000000000e-01 1.002030684927006e-04 -1.002030684927006e+00 -1.400501015342167e-07 1.400501015342463e-07 
5.000000000000000e-07 -1.000000000000000e+00 9.998972312843842e-05 -9.998972312843841e-01 -5.000499948615932e-07 5.000499948615642e-07 
5.319999999999999e-07 -1.000000000000000e+00 9.993046387329941e-05 -9.993046387329940e-01 -5.000499652320145e-07 5.000499652319366e-07 
5.960000000000000e-07 -1.000000000000000e+00 9.981194537004402e-05 -9.981194537004402e-01 -5.000499059725491e-07 5.000499059726851e-07 
7.240000000000000e-07 -1.000000000000000e+00 9.957490840566894e-05 -9.957490840566894e-01 -5.000497874542262e-07 5.000497874542028e-07 
9.799999999999999e-07 -1.000000000000000e+00 9.910083464546142e-05 -9.910083464546142e-01 -5.000495504173061e-07 5.000495504173227e-07 
1.480000000000000e-06 -1.000000000000000e+00 9.817490998063875e-05 -9.817490998063875e-01 -5.000490874549809e-07 5.000490874549903e-07 
1.980000000000000e-06 -1.000000000000000e+00 9.724898617306761e-05 -9.724898617306761e-01 -5.000486244930683e-07 5.000486244930865e-07 
2.480000000000000e-06 -1.000000000000000e+00 9.632306322274719e-05 -9.632306322274720e-01 -5.000481615315972e-07 5.000481615316113e-07 
2.979999999999999e-06 -1.000000000000000e+00 9.539714112967672e-05 -9.539714112967672e-01 -5.000476985705541e-07 5.000476985705648e-07 
3.479999999999999e-06 -1.000000000000000e+00 9.447121989385543e-05 -9.447121989385543e-01 -5.000472356099255e-07 5.000472356099470e-07 
3.979999999999999e-06 -1.000000000000000e+00 9.354529951528246e-05 -9.354529951528247e-01 -5.000467726497386e-07 5.000467726497576e-07 
4.479999999999999e-06 -1.000000000000000e+00 9.261937999395709e-05 -9.261937999395710e-01 -5.000463096899799e-07 5.000463096899970e-07 
4.980000000000000e-06 -1.000000000000000e+00 9.169346132987846e-05 -9.169346132987847e-01 -5.000458467306632e-07 5.000458467306650e-07 
5.480000000000000e-06 -1.000000000000000e+00 9.076754352304581e-05 -9.076754352304580e-01 -5.000453837717478e-07 5.000453837717615e-07 
5.980000000000000e-06 -1.000000000000000e+00 8.984162657345832e-05 -8.984162657345831e-01 -5.000449208132880e-07 5.000449208132867e-07 
